post_id,title,category,score,num_comments,author,collected_at
47593861,Maze Algorithms (1997),Others,86,33,marukodo,2026-04-04 07:50:14
47621825,I Built an SMS Gateway with a $20 Android Phone – Jonno.nz,Others,82,38,jonno-nz,2026-04-04 07:50:15
47633116,The house is a work of art: Frank Lloyd Wright,Others,81,32,midnightfish,2026-04-04 07:50:09
47630795,"Hello, World",Others,81,15,reconnecting,2026-04-04 07:50:13
47582792,Linux Running in a PDF (2025),Others,80,21,matthewsinclair,2026-04-04 07:50:12
47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,AI,74,32,anonhaven,2026-04-04 07:50:17
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",AI,73,29,Bender,2026-04-04 07:50:13
47621448,A Few Good Magazines From the 70s and 80s,Others,71,29,OhMeadhbh,2026-04-04 07:50:16
47597159,Improving my focus by giving up my big monitor,Others,70,87,Fudgel,2026-04-04 07:50:09
47630592,Async Python Is Secretly Deterministic,Programming,70,29,KraftyOne,2026-04-04 07:50:12
47619879,U.S. is burning through Tomahawk cruise missile stockpile,Others,70,54,uticus,2026-04-04 07:50:15
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,AI,61,28,borski,2026-04-04 07:50:09
47620933,Memo: A language that remembers only the last 12 lines of code,Programming,57,36,notem,2026-04-04 07:50:16
47633676,"Extra usage credit for Claude to celebrate usage bundles launch (Pro, Max, Team)",Startups,54,48,angst,2026-04-04 07:50:14
47592614,Prefer do notation over Applicative operators when assembling records (2024),Others,53,12,wazHFsRy,2026-04-04 07:50:17
47629013,Mercurial Dyson – a plan for the disassembly of planet Mercury,Others,51,35,indy,2026-04-04 07:50:17
47633150,The Subprime AI Crisis Is Here,AI,48,19,dmitrygr,2026-04-04 07:50:18
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,AI,44,9,liz_ifixit,2026-04-04 07:50:17
47630582,Three main saturated fats raise your cholesterol,AI,44,11,brandonb,2026-04-04 07:50:16
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,AI,42,20,tosh,2026-04-04 07:50:14
47627419,The Axios supply chain attack used individually targeted social engineering,AI,40,9,cmitsakis,2026-04-04 07:50:13
47626598,Show HN: ctx – an Agentic Development Environment (ADE),Others,40,51,luca-ctx,2026-04-04 07:50:12
47630136,Update on the eBay Scam,Others,39,36,speckx,2026-04-04 07:50:12
47633640,How to Write Unmaintainable Code (1999),AI,39,10,downbad_,2026-04-04 07:50:11
47631648,Automatic Textbook Formalization,Others,36,13,tzury,2026-04-04 07:50:13
47634405,Delve removed from YC portfolio website,Others,33,1,cyrusradfar,2026-04-04 07:50:17
47591707,Bourbon waste could provide next-gen supercapacitor components,Others,30,14,prabal97,2026-04-04 07:50:11
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,Programming,30,13,eichin,2026-04-04 07:50:11
47632312,The Hardest Document Extraction Problem in Insurance,Others,29,5,sgondala_ycapp,2026-04-04 07:50:13
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,Others,27,19,sagirodin,2026-04-04 07:50:13
47624691,HarfBuzz Slug Support with WebGL,Others,27,5,mcraiha,2026-04-04 07:50:17
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,AI,27,7,heavyset_go,2026-04-04 07:50:14
47636435,Emotion concepts and their function in a large language model,Others,25,7,dnw,2026-04-04 07:50:08
47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,Others,25,0,zdw,2026-04-04 07:50:12
47580271,South Polar Times,Others,24,1,Thevet,2026-04-04 07:50:10
47624440,A CSS Engine in OCaml,Others,24,0,p4bl0,2026-04-04 07:50:17
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,AI,22,2,diehunde,2026-04-04 07:50:14
47632016,The danger of military AI isn't killer robots; it's worse human judgement,AI,22,5,speckx,2026-04-04 07:50:18
47633698,Flattening the Duck Curve: batteries reach 44% of evening demand in California,Others,20,3,bronson,2026-04-04 07:50:16
47633568,Anthropic to limit Using third-party harnesses with Claude subscriptions,Others,16,3,guiyuwei,2026-04-04 07:50:16
47583391,Windows++: C++ Application Framework for Windows by Paul DiLascia,Others,15,4,teleforce,2026-04-04 07:50:11
47635522,"Japan to require language proficiency proof for engineer, specialist visa",Others,14,4,totetsu,2026-04-04 07:50:13
47635526,Did Anyone Predict the Industrial Revolution?,Others,13,2,paulpauper,2026-04-04 07:50:14
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,Others,12,9,slp3r,2026-04-04 07:50:13
47636203,"Scientists are working on ""everything vaccines""",Others,12,4,andsoitis,2026-04-04 07:50:11
47635929,Naming rights to street auctioned in San Francisco,Others,11,6,18nleung,2026-04-04 07:50:11
47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,AI,11,5,mettamage,2026-04-04 07:50:15
47634544,"The story that rocked the world: Ten years of the Panama Papers, part 1 – ICIJ",Others,11,0,abdelhousni,2026-04-04 07:50:16
47633464,Third-party Claude harnesses will now draw from extra usage,Others,10,3,iBelieve,2026-04-04 07:50:18
47635558,Netflix just dropped their first public model on Hugging Face: VOID,Others,10,1,rajtilakjee,2026-04-04 07:50:15
47632763,I Gave an Claude Its Own Radio Station – It Won't Stop Broadcasting (It's Fine),Others,10,2,eltokh7,2026-04-04 07:50:17
47635472,No One at Waffle House Remembers FEMA Official Who Says He Teleported In,Others,8,2,jonas21,2026-04-04 07:50:18
47602598,An experimental guide to Answer Engine Optimization,Others,8,3,rosslh,2026-04-04 07:50:12
47636233,"Uber engineer alleges hostile 'boys club' culture, firing after cancer leave",Others,7,0,nickvec,2026-04-04 07:50:13
47631190,Chip-scale optical wireless system hits 362 Gbps at half the energy of Wi-Fi,Others,6,0,prabal97,2026-04-04 07:50:16
47633734,ENiGMA½ BBS Software,Tech,6,1,NuSkooler,2026-04-04 07:50:14
47636101,AdGuard ad trackers What ad-based surveillance does to your traffic,Others,5,0,XzetaU8,2026-04-04 07:50:13
47609492,50 years measuring the cleanest air,AI,5,0,defrost,2026-04-04 07:50:10
47632901,Sandbox Strategy Game for AI,AI,5,0,Stefan_Golas,2026-04-04 07:50:16
47633514,"Writing an LLM from scratch, part 32h – Interventions: full fat float32",Others,5,0,gpjt,2026-04-04 07:50:15
47582852,The Philosopher and the Tsar,Others,4,0,Caiero,2026-04-04 07:50:13
47632460,Charge Robotics (YC S21) Is Hiring Software and Hardware Engineers,Tech,1,0,banks_h,2026-04-04 07:50:10
